Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay residents with new or worsened bowel or bladder incontinence,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
PRUITTHEALTH,434,92,4,0,0,6,6.5,100,0,0,2.5,2.6,2.4,3,3.4,2.9,0.6,41.7,40.2,0.7,69,0.8,1738316.98,18894.75,13,0.1,26,13.4,1.6,3,44.1,88.9,90.4,1.84,1.58,15.3,2.8,6.9,2.5,1.4,21.9,15.9,95.6,96.4,0,15,4.7,3.5,19.6,12.1,78.3,10.6
PULASKI MEMORIAL HOSPITAL,435,10,1,1,0,1,10,40,20,40,2.4,2.7,2.4,2.6,3.8,3.3,0.6,44.2,41.6,0.9,40,4,579395.95,57939.6,3,0.3,20.5,11.5,2.5,4.7,48.4,69.2,79.3,2,1.65,19.9,4.7,5.4,1.4,0.5,35.4,29,93.6,95.4,0,27.7,5,13.8,25.5,10.5,54.2,26.6
PUREHEALTH,586,6,2,0,0,0,0,83.3,16.7,0,4.2,3.8,2.8,4.7,3.9,3.5,0.7,50.7,35.1,0.4,4,0.7,96295.65,16049.28,2,0.3,27.4,9.6,0.3,0.8,63.1,94.2,98.7,2.24,0.87,4.6,3.1,7.6,1,0.6,16.6,11.4,99.6,99.9,0,20.5,12.3,2,14.9,11.2,20.8,20
QUALITY LIFE SERVICES,436,10,1,0,0,1,10,100,0,0,3.1,3,2.9,3.6,3.6,3.3,0.7,53,47.3,0.8,6,0.6,302977.69,30297.77,1,0.1,27.9,11.2,1.6,1.9,68.3,80.8,84.6,1.73,1.43,20.1,3.9,4.1,2,0.8,20.2,12.5,90.2,94.2,0,27.5,6.9,15.7,26.9,10.5,47.3,11.4
REACH LTC,639,9,1,0,0,0,0,100,0,0,2.1,2,2.4,3.4,3.5,3,0.5,62.4,45.3,0.2,10,1.1,312311.28,34701.25,2,0.2,21.4,12.5,1.2,2.7,58.4,60.8,62,2.43,2.24,19.7,1.8,4.4,1.9,1.3,15.8,13.3,81.3,86.6,0,19.1,3.9,12.3,26.6,10.6,35.7,1.1
REAL PROPERTY HEALTH FACILITIES,605,9,3,0,0,0,0,66.7,0,33.3,3.6,3.4,3.6,3.8,3.4,3.1,0.7,44.9,44.1,0.6,4,0.4,203699.15,22633.24,3,0.3,16.4,14.5,0.2,2.4,49.8,89.3,89.2,1.25,1.73,20.5,2.5,6.3,2.4,0.4,16.6,16.7,98.4,95,0,14.2,4.1,1.4,19.7,10.2,61.4,9.4
RECOVER-CARE HEALTHCARE,438,42,3,0,0,11,26.2,100,0,0,2.2,2.1,1.9,3.2,3.3,3,0.6,67.4,65.9,0.7,121,2.9,1709766.66,40708.73,7,0.2,22.7,13.3,1.8,2.7,53.6,63.3,63.5,1.8,1.74,21,3,5.1,1.4,1.5,22.7,19,93.5,85.7,0.1,24.6,5.6,5.7,18.4,10.3,39.8,6.3
REGALCARE,439,9,1,0,1,2,22.2,100,0,0,2.1,2.4,2.1,2.4,3.5,3.1,0.6,53.3,69,1.3,15,1.7,540950.83,60105.65,1,0.1,29.8,14,1.2,3,49.4,75.3,71.1,1.71,1.57,17,1.2,6,0.9,0.3,26.6,23.3,95,92.7,0,26,5.6,2,18.3,11.2,75.4,15
REGENCY CARE,440,5,5,0,0,0,0,100,0,0,3,2.8,3,3.4,4,3.7,0.6,44.6,48,0.8,0,0,0,0,1,0.2,23.1,12.2,1.8,2.9,48.3,76.5,72.6,1.57,1.08,10,3.2,6.6,1.7,0.4,41.8,26.2,96.2,93.7,0,25.3,6.4,7.7,21.6,11.6,42.5,8.1
REGENCY PACIFIC MANAGEMENT,442,27,3,0,0,2,7.4,100,0,0,3.5,3.5,3.7,3.3,4.6,4,0.8,47,44.5,0.3,34,1.3,1429734.75,52953.14,5,0.2,19.4,16.7,1.3,2,59,82.1,92.3,1.48,2.59,13.1,3,6.5,3.1,2.1,32.6,19.9,95.6,98.6,0,24.3,4.2,8,13.6,9.5,34.5,3.1
REGENT MANAGEMENT SERVICES,443,7,1,0,0,1,14.3,100,0,0,2.3,2.6,1.2,2.7,2.9,2.5,0.3,58,67.4,1.2,10,1.4,215083.13,30726.16,2,0.3,21.6,11.5,1.1,2,56.4,83.5,82.7,2.17,1.49,8.6,3.8,6.8,2.5,0.7,44.3,30.3,97.4,91.2,0,20.5,3.3,1.3,20.4,11.2,0.3,0.3
REHAB SELECT,444,5,1,0,0,0,0,100,0,0,3.2,3.4,3.8,2.8,4.6,3.9,0.5,51.7,45.6,0.4,0,0,0,0,0,0,26.5,16.5,0.8,1.2,58.2,92.4,93.4,1.76,2.17,19.4,3.4,7.5,3,2.1,19.7,13,96.9,98.9,0.2,7.6,3.2,1.8,22.1,10,22.5,10.1
REHABILITATION ASSOCIATES,445,6,1,0,0,0,0,100,0,0,3.8,3.5,4,3.2,4.5,4.1,0.8,37.2,57.5,0.3,2,0.3,43891.25,7315.21,1,0.2,30.7,14.9,0.7,2.4,51.4,87.5,77,1.52,0.83,16.5,4.1,6.5,3.5,1.9,24,23.6,95.5,93.1,0.3,15.4,4.3,3.4,13.9,11.5,62.1,15.5
RELIABLE HEALTH CARE MANAGEMENT,728,5,1,0,0,0,0,100,0,0,3.4,3.4,2.6,3.6,3.4,3.1,0.4,47.7,43.7,0,4,0.8,33902.34,6780.47,0,0,22.5,4.9,3.1,4,47.5,87,93.8,2.26,0.8,16,4,3.5,2.9,1.2,31.1,24.1,98.6,98.9,0.1,21.5,5.8,4.8,27.1,10.7,45.9,2.9
RELIANT CARE MANAGEMENT,446,22,1,0,3,11,50,100,0,0,1.2,1.7,1,2.5,1.9,1.7,0.2,58.1,66.3,0.7,56,2.5,3478522.04,158114.64,28,1.3,30.6,19.3,3.3,3.2,44.7,39.9,44.3,1.72,3.18,45.1,1.9,3.3,1,2.3,21.5,21.5,76.9,69.4,0.3,13.3,5.3,2,35.3,10.9,14.2,8.2
RELIANT MANAGEMENT GROUP,447,9,1,1,0,2,22.2,100,0,0,2,2.4,1.6,2.1,4,3.8,0.3,28.7,,,26,2.9,299228.62,33247.62,4,0.4,30.8,17.7,2.2,1.8,39.5,96.1,95.5,2.65,1.51,16,1.1,2.9,0.8,1.2,29.1,20.9,100,99.9,0,14.8,5,0.6,17.6,10.4,40.3,4
RENEW HEALTH CONSULTING SERVICES,448,7,1,0,0,2,28.6,100,0,0,3,2.9,2.7,3.7,4.2,3.8,0.4,47.8,47.5,1.2,6,0.9,146170.61,20881.52,2,0.3,25.5,9.6,2,1.1,55.1,98.7,99.9,2.96,1.83,15.2,1.7,6.4,0.6,0.3,12.5,13,100,99.9,0.7,6.5,4.2,14.3,16.5,10.7,68.3,10.6
RENNES GROUP,449,6,1,0,0,0,0,100,0,0,4.7,4,4,4.2,4,3.6,1,44.9,37.2,0,0,0,0,0,0,0,23.6,13.8,0.7,0.6,57.8,96.6,97.8,1.12,1.33,9.8,3,2.2,3.1,1.6,30.3,19.4,99.3,98.8,0,28.3,3.6,1.7,13.6,9,53.4,6.3
RESIDENTIAL ALTERNATIVES OF ILLINOIS,450,8,2,0,0,1,12.5,0,100,0,2.9,2.9,2.9,3,4,3.5,0.7,48.6,47.4,0.3,12,1.5,376851.68,47106.46,2,0.3,29.2,17.5,0.5,4,69.1,58.2,76.1,1.58,2.82,16.2,5.8,5.3,4.4,0.4,27.2,25.6,88.4,88.6,0,24.1,6.4,4.5,18.9,11.1,49.9,9.7
RILEY SPENCE SENIOR LIVING,658,5,1,0,0,0,0,100,0,0,1.4,2,2,1.8,3.3,3,0.4,57.5,51.5,2,5,1,204928.72,40985.74,1,0.2,27.4,17.8,2.7,3.8,39.8,54,58.9,2.3,2.29,23.8,6,5.7,3.6,1.8,22.2,19.5,92.5,88.4,0,13.5,8.5,7.3,22.8,10.9,29.2,1.1
RIVERS EDGE OPERATIONS,668,7,1,1,0,1,14.3,100,0,0,2.7,2.7,3.2,2.8,3.7,3.4,0.3,55.5,40,0.2,5,0.7,226600.85,32371.55,8,1.1,29.7,25.1,1.2,2.4,50,68.4,72.4,2.62,2.91,15.9,3.5,6.4,1.9,2.6,16.5,12.1,95,94.2,0.1,22.6,3.6,4.1,27.4,10.8,45,24.6
RIVERSIDE HEALTH SYSTEM,453,5,1,0,0,0,0,0,100,0,3.2,3.2,3.6,3.4,3.7,3.1,0.9,47,41,0.2,1,0.2,7442.5,1488.5,0,0,22.2,11.3,1.5,3.3,56,82.9,92.3,1.27,1.1,21.8,3.6,9.5,1.9,0.8,26.8,17.5,97.9,98.2,0,23.8,6.6,3.6,17.1,10.7,44,6.3
ROBERT SCHOENFELD,716,7,1,0,1,2,28.6,85.7,14.3,0,2.3,2.3,3,3.1,3.9,3.6,0.5,45.2,59.3,0.7,11,1.6,751264.62,107323.52,1,0.1,27,12,2.1,3.3,47.7,94.8,94.7,2.5,1.45,8.5,2.9,4.9,0.6,0.4,21.4,16.2,100,99,0,18.7,6.9,0.5,18.8,11.4,29.4,1.3
ROCHESTER REGIONAL HEALTH,454,5,1,0,0,0,0,0,100,0,3.6,3.2,3.8,4,4.4,3.9,0.6,38.7,33.2,0.2,1,0.2,12868.05,2573.61,0,0,18.8,9.6,0.8,2.6,63.1,78,85.4,1.44,0.8,13.6,4.1,8.8,0.6,0.8,20.1,21,95.1,94.8,0,21.2,7.7,2.4,8.6,10.4,72.9,0.8
ROCKY MOUNTAIN CARE,455,7,1,0,0,0,0,14.3,85.7,0,2.3,1.9,2.6,3.9,3.8,3.4,1,60.7,53.5,1,24,3.4,490101.56,70014.51,2,0.3,23.8,13,1.1,0.7,44.2,90.9,97.4,1.1,1.19,11.1,2.6,4.6,2.8,1.1,38.9,21.2,95.7,99.1,0.2,20.2,3.8,11.3,22.5,9.3,38.8,10.2
ROLLINS-NELSON HEALTHCARE MANAGEMENT,456,10,1,0,2,2,20,100,0,0,2.2,2.3,3.1,3.1,4.5,4,0.5,30,29.3,0.2,19,1.9,358031.81,35803.18,4,0.4,13.7,2.8,4.1,1,58.8,100,97.6,4.69,0.89,33.1,0.3,4.4,0.9,2.7,14.4,18.1,100,98.6,0,2.6,0.9,1.2,19.9,9.8,68.4,14.3
ROYAL HEALTH GROUP,457,12,2,0,0,0,0,100,0,0,2.6,2.8,2.7,2.8,3.5,3,0.7,44.1,44.3,0.4,11,0.9,232548,19379,0,0,26.2,15.5,1.3,2.4,46.4,76.9,79.6,1.83,1.39,21.7,5.6,4.1,3,1.2,23.8,25,96.7,92.9,0,24.9,6,19.4,18.9,10.7,51,10.8
RYDERS HEALTH MANAGEMENT,458,8,1,0,0,3,37.5,100,0,0,2.4,2.4,3,2.6,3.9,3.6,0.7,47.5,48.5,0.4,6,0.8,169642.81,21205.35,0,0,29.6,11.6,1.8,3,48.6,49,49,2.59,1.8,16.7,4.1,4.3,3.7,0.7,32.1,28.9,93.9,74.1,0,24.9,4.9,2.2,18.6,10.1,46.9,2
S-H FORTY-NINE OPCO VENTURES,459,5,3,0,0,0,0,100,0,0,2.8,3,3.8,2.4,5.1,4.5,1.4,47.9,38.5,1,4,0.8,248378,49675.6,0,0,28.7,12.5,3.2,1.3,56.7,63.8,59.9,2.12,1.86,17.4,4.2,6.8,1.9,3.7,27.5,31.8,88.5,80.7,0,26.3,2.6,8.1,10.3,10.6,36.2,17.6
SABER HEALTHCARE GROUP,461,125,6,0,4,18,14.4,100,0,0,2.6,2.7,2.5,3.4,3.5,3.1,0.6,50.6,50,0.8,124,1,2761600,22092.8,10,0.1,25.4,12.6,1.5,1.4,45.3,69.5,62,1.49,1.37,10.9,3.3,4.6,1.6,1.3,26.3,19.6,95.5,87,0,22.9,6.3,5.4,20,10.6,39.9,5.8
SAINT THERESE SENIOR COMMUNITIES,624,4,2,0,0,0,0,25,75,0,3.8,3.3,4.8,4,4.5,4,1.4,28,32.4,1.3,0,0,0,0,2,0.5,22.4,11.9,1.1,1.3,62.3,85.8,87.5,2.13,1.11,16.7,4,3.5,1.3,1.4,29.3,16.8,99.5,96.6,0,31.9,4.1,3.2,11,9.8,51.1,7.3
SANDSTONE HEALTHCARE GROUP,463,12,3,0,0,2,16.7,91.7,0,8.3,3,2.3,3.1,4.6,3.7,3.3,1,61.1,50.7,0.6,10,0.8,194945.56,16245.46,0,0,25.4,10.3,0.4,3,53.6,80.3,89.8,1.11,1.45,12,2.4,4.7,1.3,0.9,16.8,15.5,94.2,96.9,0,18.3,4.4,16.7,22.4,10.4,43,12.4
SANFORD HEALTH GOOD SAMARITAN (PROSPERA),464,3,2,0,0,0,0,0,100,0,2,2,4.3,1.7,4.2,3.6,0.9,42,42.2,0,5,1.7,107449.06,35816.35,0,0,26.6,25.6,0,0,63.9,49.3,89.9,1.68,2.1,23.1,4.9,5,3.7,5.4,28.3,25.7,94.2,94.7,0.2,24.9,2.7,4.3,18.7,10.4,60.1,0
SANSTONE HEALTH & REHABILITATION,465,17,1,0,0,1,5.9,100,0,0,3.9,3.4,2.6,4.2,3.8,3.3,0.5,38.4,38,0.4,14,0.8,330763.9,19456.7,1,0.1,24,13.4,0.7,2.4,58.3,90.6,96.8,1.78,1.93,4.6,3.2,6.8,1.3,0.3,14.9,10.7,96.8,99,0,16.3,4,21.9,22.5,10.3,36.2,0.9
SANTE,466,5,2,0,0,0,0,100,0,0,4.2,3.4,4,4.8,5,4.2,1,48.6,43.6,0.6,2,0.4,83056,16611.2,0,0,22.5,9.7,0.7,1.8,65.4,89,94.5,1.48,0.94,8,4,46.9,8,11.9,21.3,47.8,,94,0,,12.2,4.5,21.2,9.7,14.2,11.9
SAPPHIRE CARE GROUP,590,9,1,0,1,2,22.2,100,0,0,2.4,2,2.1,4.4,3.5,3.1,0.7,37.7,41.5,1.1,6,0.7,280976.07,31219.56,0,0,23,9.6,0.9,2.4,65.6,74.1,72.6,1.54,1.29,11.7,2.6,7.1,0.4,0.2,12.3,11.7,94.1,86.3,0.7,24.8,5.1,33.3,14.1,9.6,45.6,1.7
SAPPHIRE HEALTH SERVICES,643,8,1,0,1,3,37.5,100,0,0,1.8,1.6,3.4,2.5,5.5,5.1,0.6,53.8,61.7,0.5,16,2,443943.61,55492.95,0,0,27.9,18.9,1.7,1.6,61,58.1,80.9,1.52,2.43,17,2.4,8.7,2,1.9,36.6,20,88.2,96.2,0.1,22.9,4.7,2.9,14.3,10,35.3,4
SAVA SENIOR CARE,467,7,1,0,0,0,0,42.9,28.6,28.6,2.7,2.9,2.4,3,3.1,2.7,0.5,42.8,40,0.5,9,1.3,107274.08,15324.87,0,0,23.9,13.3,2.9,4.1,50.8,86.9,87.9,2.28,2.16,8.4,4.3,5.8,1.2,1.2,21.7,15.3,99.6,98.5,0,17.6,4.9,1.4,22.4,10.8,27.6,0.6
SEKY HOLDING CO.,468,9,1,0,0,0,0,100,0,0,3.3,3.4,4,2,4.6,4.1,0.9,49.2,43.8,0,3,0.3,110895.1,12321.68,1,0.1,22.4,22.2,1,4.3,42.8,87.4,92.7,2.16,3.94,22.7,4.2,9.5,2.5,1.3,18.4,16.6,99.3,97.9,0,20.4,10.9,1.8,35.4,11.6,39.4,0.6
SENIOR HEALTH SOUTH,729,7,1,0,0,0,0,28.6,71.4,0,2.7,2.6,3,3.6,3.3,3.1,0.6,42.4,52.3,0.8,2,0.3,8725.43,1246.49,0,0,32.7,10.6,2.7,0.5,41.6,98.7,99,2.32,1.3,10,0.7,6,0.1,0,12.3,8.6,100,99.8,0,5.4,6.7,0.9,26,10.9,13.3,29.1
SENIOR LIFESTYLE,621,2,2,0,0,0,0,100,0,0,4,4,4.5,4,4.2,4,1.5,48.2,30.5,0.5,2,1,59252.75,29626.38,0,0,27.7,7.7,1.6,5,60.8,88.3,96.2,2.76,1.17,10.4,2.5,6.1,0,1.7,20,18.1,92.3,98,0,31.1,9,3.2,5.4,9.1,27.8,10.8
SENIOR LIVING COMMUNITIES,470,9,5,0,0,0,0,100,0,0,3.4,3,4.6,2.8,5.8,5.1,1.4,52.1,47,0.4,5,0.6,28346.8,3149.64,0,0,31.4,16.1,1,3.2,61.8,82.5,79.8,2.16,1.59,8.9,4.1,6.2,0.5,2.5,26,23.8,95.5,84.6,0,19.1,7.2,5,23.4,10.9,37.7,21.8
SENIOR LIVING PROPERTIES,471,6,1,0,0,2,33.3,66.7,0,33.3,2.7,2.5,2.5,3,3.6,3.3,0.6,47.9,31.4,2,8,1.3,450864.12,75144.02,2,0.3,32.9,24.1,1.9,4.1,59.5,86,91.9,2.58,3.36,8.6,3.3,5.2,0.4,0.5,29.4,23.1,100,100,0.4,16.2,6.3,3.5,26.7,10.7,4,1
SERRANO GROUP,659,12,1,0,2,4,33.3,100,0,0,2.3,2.1,2.9,3.8,4.2,3.8,0.4,42.1,46.5,0.6,17,1.4,827410.32,68950.86,10,0.8,23.8,7.6,0.7,2,36.4,95.8,93.8,2.4,1.33,8.3,1.3,5.5,1.1,1,16.1,9.7,99.5,98.5,0,13.5,5.3,6.7,13.8,11.6,52.5,30.6
SHERMAN FAMILY,473,8,3,0,1,1,12.5,100,0,0,2.5,2.4,1.6,3.9,3.3,2.9,0.5,47.1,46.3,1.3,6,0.8,223712.04,27964.01,2,0.3,22.6,14.7,1.9,1.6,57.3,76.8,79.3,1.58,1.64,8.4,2.4,6.5,0.8,0.6,20.2,15.6,91.3,95.7,0.1,14.5,4.6,25.7,12,10.3,40.4,22
SHLOMO HOFFMAN,713,9,2,0,1,1,11.1,100,0,0,2.6,2.7,3.2,2.4,4.1,3.5,0.7,53.2,41.5,0.7,14,1.6,734833.29,81648.14,7,0.8,26.8,15.9,2.4,3.5,49.3,77,89.6,1.68,2.37,16.3,3.5,4.2,3.1,1.3,29.8,21.5,91.6,97.6,0,31,7.3,16.9,22.6,10.2,44.6,3
SHLOMO RECHNITZ,678,8,1,0,1,2,25,100,0,0,2.1,1.9,2.8,4,4.2,3.9,0.5,39.8,45.6,0.8,22,2.8,573815.26,71726.91,3,0.4,25.1,9.3,1.4,0.8,50,97.7,97.4,2.52,1.25,7.2,1.5,7.5,0.5,0.6,11.9,10.8,99.4,99.8,0.5,7.5,4.7,13.4,10.6,11.3,50.5,21.8
SIGNATURE HEALTHCARE,474,72,7,0,1,11,15.3,98.6,0,1.4,2.5,2.5,2.3,3.3,3.6,3.1,0.6,49.7,45.8,0.9,42,0.6,1682374.07,23366.31,7,0.1,25.3,14.4,1.2,2.4,56.3,80.5,81.2,1.62,1.97,14.2,3.7,7,0.8,0.4,27.3,21.8,94.9,86.5,0,20.8,6.5,12.2,26.6,11.7,21.7,1.3
SIMCHA HYMAN & NAFTALI ZANZIPER,580,117,10,1,7,15,12.8,100,0,0,2.1,2.2,2.5,2.7,3.5,3.1,0.5,51.8,49.6,0.6,170,1.5,9066370.54,77490.35,52,0.4,26,14.3,2,3.6,49.7,71.9,70.2,1.92,1.9,12.5,3.5,7,2,1,27.4,19.8,92.8,85.7,0,21.3,7.4,3.4,22.8,11,34.9,6
SKLD,475,11,1,0,0,1,9.1,90.9,9.1,0,2.1,2,2.8,3.5,3.5,3.1,0.5,45.9,43.5,1,18,1.6,1765367.26,160487.93,10,0.9,28.3,14.7,1.6,3.2,57.2,58,64.2,2.27,2.18,14.3,2.1,5.5,1.1,1.3,12.8,9.1,94,87.2,0,25.6,4.1,1.9,18.6,10.4,35.9,6.1
SLP OPERATIONS,730,39,2,1,7,11,28.2,92.3,0,7.7,1.8,2.2,1.6,3.4,3.1,2.8,0.3,54.9,67.2,,80,2.1,3610409.56,92574.6,18,0.5,27.8,14.6,1.4,1.8,51.3,96.3,97.4,2.06,2.11,7.7,3.7,4.7,0.3,0.1,24.9,22.1,99.9,99.6,0,15.9,3.2,2.1,27.1,11.3,14.8,1.2
SMP HEALTH,476,5,1,0,0,1,20,20,80,0,3.4,2.8,4.8,2.8,4.9,4.3,0.7,31.6,23.2,0,5,1,40931,8186.2,0,0,22.3,8.3,5.2,2.8,54.4,95.2,95.9,1.28,1.61,22.5,5.6,5.9,2.4,1.2,24.4,21.7,99.2,99.5,0,24.5,5.1,3.1,16.3,8.6,57.2,3.5
SOLARIS HEALTHCARE,477,21,1,0,0,1,4.8,42.9,57.1,0,3.8,3.2,3.6,4.4,3.8,3.5,0.7,37.8,32.4,0.1,10,0.5,407939,19425.67,0,0,26,9.7,0.9,2.1,53,94.1,96.5,2.02,0.91,7.8,3.2,4.5,1.3,0.3,16.5,10,99.9,99.5,0,11.3,4.5,3.3,14.7,12,26.7,1.6
SOUTH LIMESTONE HOSPITAL DISTRICT,479,6,1,0,0,1,16.7,83.3,0,16.7,3.5,3.8,1.8,2.8,3.4,3,0.2,55.5,40.2,0.2,9,1.5,301089.56,50181.59,0,0,20.4,17.7,3.4,2,56.9,80.5,90.8,1.79,2.15,14.6,2.4,3.4,1.8,1,30.6,19.8,98.9,99.2,0.3,16.9,5.2,3.1,22.5,11.3,28.2,5.1
SOUTHERN ADMINISTRATIVE SERVICES,480,34,1,0,0,1,2.9,100,0,0,3,2.7,3.4,4,4.1,3.5,0.4,46.6,38.7,0.4,17,0.5,255750.58,7522.08,3,0.1,26.6,15.7,0.8,3.2,53.4,75.8,78.7,1.77,2.02,5.2,5,6,0.5,0.5,14,10.2,97.6,93.6,0,15.5,4.7,1.3,22.4,11.1,32.8,0
SOUTHWEST LTC,481,15,2,0,0,1,6.7,86.7,0,13.3,2.9,3.1,1.6,3.1,3.3,3,0.3,69.2,58.8,2.2,11,0.7,948643.94,63242.93,0,0,28.7,14,1.6,2.2,57.2,81.3,85,2.32,2.35,10.1,2.8,4.5,0.9,1.2,22.1,19,98.4,96.1,0,20.1,3.6,2.6,24.3,10.9,11.7,8.1
SOVEREIGN HEALTHCARE HOLDINGS,482,42,3,0,0,2,4.8,100,0,0,3.4,3.3,2.8,3.8,3.6,3.2,0.5,46.4,48.9,0.6,34,0.8,1035115.11,24645.6,2,0,26.2,11,1.3,2.9,54.7,95.4,95.2,2.06,1.24,9.6,3.4,5.6,1,0.3,17.5,11.9,99.8,99,0,16.7,5.9,6.5,16.2,11.2,33.4,5.5
SPRENGER HEALTH CARE SYSTEMS,484,12,2,0,0,0,0,100,0,0,3.2,2.8,2.7,4.4,3.5,3.1,0.6,52.2,41.3,0.8,7,0.6,121516.9,10126.41,1,0.1,27.2,18.4,1.1,0.8,49.1,84.9,90.1,1.57,1.5,6.2,3,4.5,0.1,0.1,8.7,5.2,97,96.7,0,27.4,7.7,5.3,30.4,10.5,35.8,3.4
SPRINGPOINT SENIOR LIVING,485,8,2,0,0,0,0,0,100,0,4.1,3.1,4.8,4.4,4.5,4.2,1.2,37.8,36.8,0.4,35,4.4,324147.28,40518.41,0,0,28.9,9.5,0.6,0.9,50.5,90.4,86,1.75,0.95,8.6,3,5.7,3.2,1.2,21.5,14.7,98.4,98,0,14.1,5.1,2.1,14.7,10.2,57.3,2.7
SPYGLASS HEALTHCARE,703,7,1,0,0,2,28.6,100,0,0,2,2,3.1,3.7,4.1,3.7,0.6,43.5,58.9,0.3,6,0.9,146509.75,20929.96,0,0,27.7,15.8,1.2,1.5,64.2,96.4,95.9,1.9,1.89,10.5,1.2,7.6,0.4,0.8,9,7.2,99.1,99.9,0,8.5,4.5,2.7,9.2,9.9,41.9,18.2
SSM HEALTH,486,5,2,0,0,0,0,0,100,0,2.8,2.4,3.6,3.8,4.2,3.8,1,44.4,39.7,0.8,5,1,103724,20744.8,3,0.6,17.5,12.6,0.8,2,59.4,83,89.2,1.34,1.61,14.2,2.2,5.2,1.5,1.1,28,18.3,98.2,94.4,0,29.4,3.5,1.4,19.2,9.4,55.2,6.3
ST. FRANCIS HEALTH SERVICES,487,14,1,0,1,0,0,0,100,0,2.9,2.5,4.2,3.5,3.9,3.4,1,41.5,31.1,0.5,19,1.4,321273.3,22948.09,7,0.5,18.5,14.7,2,2.1,66.9,85,91.6,1.38,1.95,14.2,3.6,3.5,3.3,2.4,26.8,20.5,97.1,96.6,0,22.2,4,4.4,15.6,10.4,60.4,9.2
STATE OF LOUISIANA DEPARTMENT OF VETERANS AFFAIRS,488,5,1,0,0,0,0,0,0,100,4.6,5,2.5,3,7,6.3,1.5,,,,0,0,0,0,0,0,13.2,17.4,2.6,5.6,36.7,19.2,76.8,1.41,2.05,12.5,0,0,0,0,30.4,15,,100,0,13.7,,0,21.7,11.5,58.9,1.3
STATE OF NEW YORK COMPTROLLER'S OFFICE,489,6,1,0,0,0,0,0,0,100,4.7,4.5,4.7,4,5.6,4.7,2,25.7,19.3,0,0,0,0,0,0,0,18.1,8.5,1.4,1.7,47,87.8,87.1,1.37,1.06,7.8,2.4,9,2.7,1.9,25.5,18.5,97.1,96.2,0,21.1,7.6,2.1,9.2,8.8,39.2,4.8
STEIN LTC,490,7,3,0,0,0,0,100,0,0,3,2.9,2.3,2.6,3.9,3.5,0.2,50.4,58.3,0.6,11,1.6,192798.45,27542.64,3,0.4,29.6,16,3.2,3,64.8,89.4,92.9,2.85,3.28,12.9,5,3.3,7.1,3,20.4,15.6,99,98.4,0,15.2,4.6,3.7,28.3,10.4,39.8,2.2
STELLAR HEALTH GROUP,694,5,3,0,0,0,0,100,0,0,2.8,2.4,3.2,3.4,4,3.4,0.8,40,35.5,0.4,4,0.8,147496.05,29499.21,0,0,24.9,11.9,1.7,1.8,59.8,82.5,90.3,1.43,1.17,20.6,5.2,3.2,1.9,2.3,24.1,23.1,98,97.8,0,24.3,4.3,9.3,13.5,10,64.9,28.9
STELLAR SENIOR LIVING,491,11,3,0,0,5,45.5,100,0,0,2.2,1.9,3.2,3.9,3.4,3,0.7,44.1,36.8,0.5,30,2.7,651360.49,59214.59,5,0.5,16.6,13.7,1,2.5,61.1,73.2,79.7,1.01,1.48,18.4,4.2,5.6,1.4,1.2,23.3,19.6,93.8,91.2,0,26.8,7.3,5.6,14,9.9,42.6,4.6
